Atharva Mandar Phatak ,BE21B009,Discord ID: atharvamandarphatak
26824,0.06,0.66
26825,0.5,0.71
26826,0.05,0.67
26827,0.07,0.2
26828,0.12,0.42
26829,0.69,0.79
26830,0.06,0.69
26831,0.18,0.7
26832,0.17,0.79
26833,0.18,0.48
26834,0.26,0.46
26835,0.33,0.81
26836,0.28,0.63
26837,0.16,0.16
26838,0.13,0.59
26839,0.21,0.48
26840,0.09,0.3
26841,0.57,0.63
26842,0.25,0.14
26843,0.12,0.13
26844,0.11,0.34
26845,0.05,0.69
26846,0.06,0.84
26847,0.35,0.35
26848,0.1,0.71
26849,0.41,0.47
26850,0.61,0.67
26851,0.12,0.03
26852,0.12,0.09
26853,0.29,0.44
26854,0.07,0.1
26855,0.43,0.74
26856,0.16,0.21
26857,0.53,0.39
26858,0.15,0.66
26859,0.01,0.11
26860,0.29,0.28
26861,0.06,0.15
26862,0.01,0.3
26863,0.15,0.4
26864,0.36,0.42
26865,0.15,0.12
26866,0.08,0.59
26867,0.16,0.24
26868,0.63,0.72
26869,0.06,0.15
26870,0.56,0.75
26871,0.05,0.05
26872,0.14,0.38
26873,0.15,0.71
26874,0.12,0.27
26875,0.41,0.7
26876,0.09,0.26
26877,0.25,0.23
26878,0.16,0.25
26879,0.03,0.1
26880,0.09,0.16
26881,0.02,0.14
26882,0.08,0.03
26883,0.17,0.33
26884,0.15,0.26
26885,0.22,0.57
26886,0.08,0.69
26887,0.51,0.79
26888,0.88,0.94
26889,0.01,0.24
26890,0.15,0.39
26891,0.71,0.86
26892,0.17,0.6
26893,0.09,0.1
26894,0.29,0.38
26895,0.06,0.83
26896,0.13,0.11
26897,0.14,0.49
26898,0.39,0.66
26899,0.02,0.14
26900,0.14,0.28
26901,0.1,0.5
26902,0.05,0.76
26903,0.3,0.21
26904,0.17,0.44
26905,0.35,0.67
26906,0.04,0.47
26907,0.02,0.45
26908,0.07,0.69
26909,0.29,0.36
26910,0.19,0.46
26911,0.14,0.22
26912,0.51,0.8
26913,0.6,0.84
26914,0.04,0.24
26915,0.18,0.57
26916,0.05,0.28
26917,0.17,0.23
26918,0.82,0.94
26919,0.12,0.6
26920,0.02,0.13
26921,0.24,0.69
26922,0.12,0.63
26923,0.3,0.56
26924,0.73,0.93
26925,0.3,0.74
26926,0.34,0.62
26927,0.45,0.77
26928,0.19,0.53
26929,0.13,0.29
26930,0.47,0.72
26931,0.27,0.35
26932,0.27,0.84
26933,0.07,0.44
26934,0.34,0.61
26935,0.16,0.34
26936,0.3,0.36
26937,0.13,0.85
26938,0.1,0.1
26939,0.1,0.16
26940,0.22,0.26
26941,0.15,0.51
26942,0.6,0.73
26943,0.17,0.6
26944,0.06,0.13
26945,0.04,0.51
26946,0.09,0.7
26947,0.38,0.6
26948,0.13,0.12
26949,0.07,0.16
26950,0.11,0.44
26951,0.22,0.48
26952,0.79,0.83
26953,0.52,0.79
26954,0.02,0.28
26955,0.06,0.67
26956,0.16,0.18
26957,0.08,0.82
26958,0.16,0.74
26959,0.14,0.38
26960,0.04,0.21
26961,0.28,0.55
26962,0.18,0.75
26963,0.2,0.36
26964,0.04,0.32
26965,0.44,0.85
26966,0.08,0.16
26967,0.09,0.41
26968,0.12,0.82
26969,0.21,0.35
26970,0.67,0.58
26971,0.08,0.13
26972,0.12,0.15
26973,0.14,0.22
26974,0.21,0.39
26975,0.22,0.67
26976,0.78,0.7
26977,0.13,0.52
26978,0.05,0.67
26979,0.66,0.79
26980,0.08,0.12
26981,0.05,0.42
26982,0.69,0.75
26983,0.24,0.46
26984,0.01,0.13
26985,0.1,0.11
26986,0.09,0.35
26987,0.04,0.19
26988,0.03,0.19
26989,0.46,0.76
26990,0.06,0.13
26991,0.24,0.5
26992,0.38,0.49
26993,0.1,0.86
26994,0.29,0.41
26995,0.2,0.5
26996,0.36,0.36
26997,0.08,0.07
26998,0,0.1
26999,0.24,0.54
27000,0.09,0.4
27001,0.1,0.78
27002,0.08,0.28
27003,0.01,0.13
27004,0.25,0.2
27005,0.47,0.8
27006,0.75,0.77
27007,0.08,0.17
27008,0.15,0.16
27009,0.14,0.51
27010,0.02,0.19
27011,0.15,0.19
27012,0.36,0.53
27013,0.17,0.53
27014,0.1,0.32
27015,0.18,0.13
27016,0.09,0.29
27017,0.68,0.84
27018,0.04,0.3
27019,0.92,0.9
27020,0.4,0.37
27021,0.24,0.56
27022,0.1,0.27
27023,0.1,0.24
27024,0.07,0.25
27025,0.26,0.3
27026,0.02,0.41
27027,0.06,0.69
27028,0.32,0.79
27029,0.3,0.27
27030,0.34,0.42
27031,0.5,0.75
27032,0.25,0.62
27033,0.49,0.73
27034,0.08,0.63
27035,0.27,0.25
27036,0.21,0.71
27037,0.58,0.68
27038,0,0.03
27039,0.56,0.79
27040,0.16,0.47
27041,0.07,0.62
27042,0.04,0.48
27043,0.49,0.65
27044,0.04,0.15
27045,0.08,0.54
27046,0.11,0.14
27047,0.46,0.57
27048,0.15,0.54
27049,0.38,0.76
27050,0.09,0.57
27051,0.09,0.26
27052,0.03,0.32
27053,0.78,0.87
27054,0.07,0.04
27055,0.15,0.78
27056,0.23,0.33
27057,0.03,0.13
27058,0.77,0.78
27059,0.1,0.18
27060,0.07,0.35
27061,0.06,0.5
27062,0.16,0.39
27063,0.05,0.49
27064,0.13,0.44
27065,0.3,0.47
27066,0.15,0.54
27067,0.62,0.77
27068,0.5,0.81
27069,0.67,0.89
27070,0.01,0.06
27071,0.14,0.13
27072,0.25,0.5
27073,0.13,0.85
27074,0.09,0.38
27075,0.33,0.67
27076,0.66,0.6
27077,0.11,0.26
27078,0.3,0.68
27079,0.19,0.84
27080,0.19,0.27
27081,0.13,0.74
27082,0.22,0.44
27083,0.12,0.32
27084,0.69,0.64
27085,0.03,0.05
27086,0.04,0.16
27087,0.1,0.38
27088,0.39,0.7
27089,0.22,0.3
27090,0.43,0.6
27091,0.44,0.5
27092,0.19,0.39
27093,0.25,0.26
27094,0.05,0.14
27095,0.03,0.58
27096,0.16,0.3
27097,0.35,0.59
27098,0.63,0.86
27099,0.22,0.57
27100,0.09,0.65
27101,0.12,0.5
27102,0.2,0.68
27103,0.11,0.09
27104,0.42,0.58
27105,0.19,0.43
27106,0.5,0.74
27107,0.47,0.8
27108,0.43,0.33
27109,0.15,0.14
27110,0.03,0.28
27111,0.08,0.52
27112,0.45,0.66
27113,0.19,0.13
27114,0.16,0.19
27115,0.58,0.76
27116,0.11,0.81
27117,0.02,0.11
27118,0.07,0.48
27119,0.24,0.28
27120,0.25,0.86
27121,0.12,0.75
27122,0.07,0.41
27123,0.19,0.3
27124,0.02,0.25
27125,0.02,0.04
27126,0.32,0.27
27127,0.06,0.07
27128,0.21,0.53
27129,0.2,0.52
27130,0.15,0.28
27131,0.15,0.25
27132,0.29,0.93
27133,0.17,0.61
27134,0.75,0.9
27135,0.06,0.49
27136,0.09,0.54
27137,0.16,0.29
27138,0.15,0.49
27139,0.08,0.3
27140,0.77,0.85
27141,0.75,0.71
27142,0.03,0.28
27143,0.23,0.41
27144,0.05,0.23
27145,0.55,0.68
27146,0.22,0.79
27147,0.09,0.18
27148,0.06,0.19
27149,0.16,0.13
27150,0.43,0.73
27151,0.25,0.81
27152,0.1,0.21
27153,0.26,0.77
27154,0.74,0.85
27155,0.28,0.68
27156,0.01,0.3
27157,0.04,0.37
27158,0.06,0.44
27159,0.04,0.16
27160,0.16,0.38
27161,0.34,0.7
27162,0.17,0.79
27163,0.51,0.41
27164,0.21,0.28
27165,0.59,0.68
27166,0.31,0.38
27167,0.14,0.51
27168,0.23,0.61
27169,0.45,0.65
27170,0.49,0.84
27171,0.05,0.29
27172,0.13,0.85
27173,0.34,0.41
27174,0.22,0.23
27175,0.09,0.19
27176,0.6,0.88
27177,0.73,0.83
27178,0.05,0.31
27179,0.1,0.26
27180,0.19,0.39
27181,0.04,0.81
27182,0.51,0.65
27183,0.02,0.57
27184,0.22,0.46
27185,0.41,0.7
27186,0.25,0.78
27187,0.2,0.39
27188,0.19,0.43
27189,0.11,0.67
27190,0.3,0.82
27191,0.34,0.93
27192,0.34,0.6
27193,0.04,0.11
27194,0.27,0.41
27195,0.07,0.19
27196,0.28,0.31
27197,0.24,0.59
27198,0.45,0.8
27199,0.14,0.33
27200,0.22,0.44
27201,0.48,0.74
27202,0.14,0.26
27203,0.04,0.21
27204,0.02,0.05
27205,0.2,0.39
27206,0.28,0.28
27207,0.2,0.25
27208,0.62,0.75
27209,0.15,0.3
27210,0.14,0.32
27211,0.11,0.22
27212,0.33,0.79
27213,0.38,0.36
27214,0.04,0.28
27215,0.18,0.66
27216,0.18,0.66
27217,0.16,0.24
27218,0.57,0.79
27219,0.57,0.74
27220,0.35,0.39
27221,0.09,0.61
27222,0.21,0.64
27223,0.1,0.58
27224,0.16,0.5
27225,0.3,0.37
27226,0.09,0.32
27227,0.23,0.36
27228,0.56,0.79
27229,0.66,0.71
27230,0.37,0.83
27231,0.35,0.73
27232,0.16,0.48
27233,0.4,0.44
27234,0.04,0.16
27235,0.73,0.91
27236,0.21,0.81
27237,0.67,0.84
27238,0.53,0.77
27239,0.32,0.33
27240,0.09,0.26
27241,0.13,0.24
27242,0.23,0.47
27243,0.12,0.11
27244,0.03,0.21
27245,0.12,0.35
27246,0.7,0.87
27247,0.29,0.94
27248,0.13,0.68
27249,0.06,0.55
27250,0.17,0.19
27251,0.03,0.47
27252,0.22,0.41
27253,0.03,0.86
27254,0.79,0.97
27255,0.2,0.2
27256,0.72,0.85
27257,0.32,0.5
27258,0.33,0.69
27259,0.46,0.78
27260,0.11,0.29
27261,0.28,0.76
27262,0.06,0.49
27263,0.15,0.14
27264,0.1,0.2
27265,0.19,0.44
27266,0.18,0.43
27267,0.21,0.42
27268,0.14,0.21
27269,0.56,0.57
27270,0.05,0.13
27271,0.06,0.27
27272,0.15,0.49
27273,0.21,0.25
27274,0.19,0.29
27275,0.19,0.36
27276,0.07,0.25
27277,0.04,0.86
27278,0.14,0.39
27279,0.08,0.35
27280,0.53,0.42
27281,0.1,0.44
27282,0.15,0.87
27283,0.07,0.19
27284,0.3,0.53
27285,0.02,0.36
27286,0.19,0.46
27287,0.19,0.6
27288,0.47,0.72
27289,0.2,0.55
27290,0.05,0.13
27291,0.49,0.75
27292,0.08,0.51
27293,0.09,0.86
27294,0.06,0.13
27295,0.45,0.85
27296,0.11,0.83
27297,0.08,0.8
27298,0.08,0.45
27299,0.38,0.73
27300,0.23,0.74
27301,0,0.07
27302,0.18,0.63
27303,0.2,0.19
27304,0.12,0.67
27305,0.01,0.09
27306,0.31,0.51
27307,0.81,0.85
27308,0.32,0.33
27309,0.79,0.98
27310,0.08,0.33
27311,0.06,0.2
27312,0.13,0.45
27313,0.05,0.2
27314,0.07,0.09
27315,0.03,0.27
27316,0.33,0.73
27317,0.18,0.35
27318,0.17,0.33
27319,0.29,0.7
27320,0.16,0.72
27321,0.04,0.69
27322,0.42,0.51
27323,0.09,0.38
27324,0.32,0.6
27325,0.82,0.89
27326,0.14,0.62
27327,0.23,0.5
27328,0.4,0.43
27329,0.19,0.29
27330,0.15,0.61
27331,0.16,0.14
27332,0.15,0.74
27333,0.65,0.76
27334,0.05,0.07
27335,0.2,0.23
27336,0.19,0.21
27337,0.26,0.6
27338,0.23,0.47
27339,0.13,0.41
27340,0.02,0.11
27341,0.24,0.72
27342,0.24,0.56
27343,0.1,0.05
27344,0.4,0.43
27345,0.09,0.26
27346,0.33,0.86
27347,0.75,0.81
27348,0.06,0.27
27349,0.21,0.33
27350,0.09,0.76
27351,0.6,0.75
27352,0.1,0.39
27353,0.02,0.28
27354,0.29,0.62
27355,0.36,0.35
27356,0.34,0.68
27357,0.05,0.42
27358,0.4,0.6
27359,0.42,0.71
27360,0.39,0.66
27361,0.06,0.83
27362,0.4,0.51
27363,0.22,0.3
27364,0.07,0.42
27365,0.4,0.62
27366,0.4,0.65
27367,0.2,0.48
27368,0.09,0.47
27369,0.03,0.08
27370,0.14,0.79
27371,0.28,0.4
27372,0.07,0.16
27373,0.7,0.71
27374,0.02,0.29
27375,0.11,0.78
27376,0.39,0.34
27377,0.26,0.65
27378,0.12,0.21
27379,0.07,0.29
27380,0.26,0.75
27381,0.12,0.57
27382,0.19,0.23
27383,0.08,0.56
27384,0.06,0.4
27385,0.05,0.81
27386,0.17,0.86
27387,0.57,0.81
27388,0.21,0.34
27389,0.09,0.23
27390,0.02,0.05
27391,0.28,0.63
27392,0.77,0.85
27393,0,0.1
27394,0.05,0.4
27395,0.61,0.57
27396,0.06,0.16
27397,0.84,0.89
27398,0.13,0.84
27399,0.35,0.53
27400,0.08,0.67
27401,0.29,0.44
27402,0.26,0.68
27403,0.08,0.35
27404,0.26,0.21
27405,0.61,0.8
27406,0.11,0.18
27407,0.1,0.3
27408,0.27,0.7
27409,0.8,0.88
27410,0.05,0.15
27411,0.14,0.36
27412,0.23,0.53
27413,0.07,0.42
27414,0.54,0.66
27415,0.03,0.42
27416,0.16,0.36
27417,0.38,0.59
27418,0.31,0.27
27419,0.69,0.92
27420,0.11,0.19
27421,0.21,0.35
27422,0.27,0.66
27423,0.06,0.21
27424,0.11,0.47
27425,0.35,0.65
27426,0.16,0.29
27427,0.11,0.42
27428,0.1,0.13
27429,0.43,0.27
27430,0.15,0.48
27431,0.15,0.62
27432,0.35,0.55
27433,0.13,0.83
27434,0.23,0.26
27435,0.3,0.62
27436,0.11,0.21
27437,0.2,0.25
27438,0.04,0.28
27439,0.36,0.49
27440,0.2,0.26
27441,0.81,0.88
27442,0.41,0.75
27443,0.02,0.18
27444,0.12,0.14
27445,0.04,0.06
27446,0.22,0.26
27447,0.15,0.22
27448,0.19,0.64
27449,0.33,0.83
27450,0.17,0.66
27451,0.01,0.19
27452,0.04,0.28
27453,0.19,0.84
27454,0.14,0.33
27455,0.21,0.47
27456,0.09,0.49
27457,0.08,0.2
27458,0.05,0.4
27459,0.08,0.29
27460,0.68,0.72
27461,0.14,0.26
27462,0.12,0.54
27463,0.23,0.4
27464,0.55,0.44
27465,0.88,0.88
27466,0.03,0.1
27467,0.04,0.25
27468,0.08,0.46
27469,0.09,0.42
27470,0.55,0.7
27471,0.19,0.76
27472,0.47,0.56
27473,0.15,0.33
27474,0.24,0.45
27475,0.06,0.11
27476,0.18,0.43
27477,0.01,0.17
27478,0.15,0.68
27479,0.15,0.28
27480,0.29,0.71
27481,0.56,0.73
27482,0.46,0.44
27483,0.65,0.7
27484,0.24,0.81
27485,0.12,0.73
27486,0.17,0.35
27487,0.32,0.84
27488,0.55,0.74
27489,0.91,0.78
27490,0.14,0.38
27491,0.41,0.49
27492,0.04,0.36
27493,0.22,0.85
27494,0.34,0.65
27495,0.13,0.34
27496,0.02,0.14
27497,0.19,0.17
27498,0.21,0.68
27499,0.05,0.85
27500,0.36,0.81
27501,0.07,0.29
27502,0.14,0.47
27503,0.04,0.66
27504,0.03,0.07
27505,0.05,0.16
27506,0.22,0.62
27507,0.11,0.28
27508,0.2,0.29
27509,0.14,0.58
27510,0.56,0.37
27511,0.22,0.56
27512,0.06,0.26
27513,0.17,0.61
27514,0.33,0.63
27515,0.7,0.63
27516,0.52,0.74
27517,0.03,0.09
27518,0.68,0.81
27519,0.03,0.11
27520,0.03,0.1
27521,0.19,0.34
27522,0.18,0.18
27523,0,0.23
27524,0.22,0.53
27525,0.05,0.29
27526,0.28,0.63
27527,0.02,0.9
27528,0.48,0.84
27529,0.27,0.66
27530,0.15,0.08
27531,0.1,0.18
27532,0.08,0.83
27533,0.33,0.55
27534,0.12,0.14
27535,0.12,0.61
27536,0.24,0.26
27537,0.51,0.67
27538,0.31,0.46
27539,0.29,0.68
27540,0.42,0.27
27541,0.7,0.95
27542,0.03,0.13
27543,0.52,0.61
27544,0.15,0.25
27545,0.2,0.18
27546,0.5,0.62
27547,0.08,0.17
27548,0.12,0.89
27549,0.1,0.8
27550,0.15,0.32
27551,0.13,0.49
27552,0.06,0.73
27553,0.15,0.55
27554,0.25,0.37
27555,0.1,0.18
27556,0.27,0.56
27557,0.42,0.89
27558,0.04,0.23
27559,0.28,0.69
27560,0.35,0.69
27561,0.58,0.71
27562,0.37,0.67
27563,0.19,0.68
27564,0.31,0.36
27565,0.09,0.22
27566,0.32,0.52
27567,0.08,0.61
27568,0.29,0.84
27569,0.31,0.39
27570,0.34,0.71
27571,0.02,0.09
27572,0,0.05
27573,0.19,0.36
27574,0.35,0.61
27575,0.04,0.26
27576,0.04,0.21
27577,0.24,0.42
27578,0.33,0.4
27579,0.21,0.58
27580,0.1,0.66
27581,0.12,0.21
27582,0.07,0.24
27583,0.06,0.2
27584,0.6,0.67
27585,0.11,0.42
27586,0.37,0.51
27587,0.08,0.73
27588,0.17,0.34
27589,0.18,0.51
27590,0.15,0.54
27591,0.23,0.68
27592,0.07,0.11
27593,0.05,0.16
27594,0.13,0.63
27595,0.06,0.31
27596,0.24,0.16
27597,0.29,0.27
27598,0.31,0.27
27599,0.38,0.59
27600,0.08,0.54
27601,0.08,0.65
27602,0.62,0.72
27603,0.07,0.15
27604,0.02,0.41
27605,0.59,0.6
27606,0.31,0.31
27607,0.44,0.52
27608,0.28,0.55
27609,0.22,0.78
27610,0.41,0.65
27611,0.34,0.22
27612,0.02,0.65
27613,0.76,0.91
27614,0.09,0.41
27615,0.25,0.9
27616,0.04,0.06
27617,0.22,0.39
27618,0.41,0.68
27619,0.27,0.33
27620,0.32,0.47
27621,0.15,0.37
27622,0.74,0.92
27623,0.05,0.64
27624,0.27,0.65
27625,0.04,0.43
27626,0.1,0.2
27627,0.75,0.76
27628,0.09,0.79
27629,0.06,0.09
27630,0.44,0.63
27631,0.08,0.41
27632,0.1,0.5
27633,0.41,0.79
27634,0.23,0.39
27635,0.09,0.3
27636,0.35,0.85
27637,0.08,0.11
27638,0.27,0.43
27639,0.01,0.27
27640,0.67,0.69
27641,0.38,0.59
27642,0.41,0.66
27643,0.1,0.19
27644,0.06,0.49
27645,0.15,0.21
27646,0.21,0.48
27647,0.23,0.18
27648,0.07,0.15
27649,0.25,0.38
27650,0.2,0.59
27651,0.41,0.8
27652,0.37,0.32
27653,0.05,0.11
27654,0.16,0.61
27655,0.26,0.54
27656,0.26,0.2
27657,0.46,0.34
27658,0.1,0.4
27659,0.06,0.08
27660,0.38,0.38
27661,0.12,0.23
27662,0.06,0.27
27663,0.3,0.78
27664,0.12,0.26
27665,0.66,0.66
27666,0.12,0.75
27667,0.04,0.09
27668,0.58,0.92
27669,0.21,0.85
27670,0.53,0.93
27671,0.1,0.77
27672,0.01,0.18
27673,0.06,0.26
27674,0.09,0.56
27675,0.48,0.79
27676,0.25,0.85
27677,0.12,0.26
27678,0.2,0.26
27679,0.1,0.51
27680,0.81,0.92
27681,0.02,0.17
27682,0.06,0.85
27683,0.27,0.59
27684,0.19,0.24
27685,0.07,0.12
27686,0.25,0.25
27687,0.13,0.21
27688,0.07,0.53
27689,0.75,0.87
27690,0.64,0.9
27691,0.72,0.9
27692,0.05,0.45
27693,0.21,0.59
27694,0.09,0.46
27695,0.14,0.45
27696,0.01,0.72
27697,0.75,0.74
27698,0.31,0.46
27699,0.06,0.2
27700,0.1,0.43
27701,0.19,0.31
27702,0.34,0.5
27703,0.05,0.11
27704,0.02,0.06
27705,0.52,0.68
27706,0.07,0.63
27707,0.06,0.36
27708,0.36,0.6
27709,0.26,0.33
27710,0.13,0.25
27711,0.65,0.83
27712,0.06,0.1
27713,0.04,0.2
27714,0.17,0.23
27715,0.67,0.81
27716,0.07,0.37
27717,0.09,0.22
27718,0.24,0.42
27719,0.02,0.09
27720,0.08,0.3
27721,0.41,0.3
27722,0.25,0.33
27723,0.19,0.79
27724,0.08,0.26
27725,0.05,0.49
27726,0.28,0.35
27727,0.34,0.89
27728,0.3,0.43
27729,0.18,0.17
27730,0.71,0.77
27731,0.8,0.87
27732,0.1,0.89
27733,0.1,0.29
27734,0.07,0.4
27735,0.43,0.67
27736,0.19,0.33
27737,0.19,0.69
27738,0.57,0.98
27739,0.58,0.78
27740,0.05,0.34
27741,0.3,0.65
27742,0.04,0.72
27743,0.66,0.8
27744,0.04,0.29
27745,0.62,0.79
27746,0.22,0.76
27747,0.11,0.33
27748,0.18,0.27
27749,0.17,0.65
27750,0.27,0.28
27751,0.15,0.38
27752,0.34,0.66
27753,0.07,0.12
27754,0.15,0.77
27755,0.86,0.89
27756,0.2,0.22
27757,0.13,0.09
27758,0.1,0.79
27759,0.05,0.08
27760,0.39,0.63
27761,0.15,0.74
27762,0.13,0.21
27763,0.08,0.52
27764,0.27,0.32
27765,0.05,0.57
27766,0.82,0.87
27767,0.61,0.8
27768,0.25,0.24
27769,0.17,0.51
27770,0.02,0.59
27771,0.11,0.51
27772,0.87,0.84
27773,0.18,0.52
27774,0.3,0.28
27775,0.2,0.32
27776,0.06,0.07
27777,0.23,0.49
27778,0.16,0.15
27779,0.14,0.3
27780,0.14,0.79
27781,0.02,0.15
27782,0.88,0.95
27783,0.18,0.66
27784,0.13,0.26
27785,0.03,0.16
27786,0.23,0.21
27787,0.16,0.3
27788,0.04,0.17
27789,0.78,0.87
27790,0.71,0.79
27791,0.06,0.32
27792,0.05,0.62
27793,0.16,0.16
27794,0.22,0.39
27795,0.35,0.79
27796,0.15,0.62
27797,0.43,0.53
27798,0.28,0.18
27799,0.09,0.26
27800,0.29,0.34
27801,0.03,0.25
27802,0.73,0.93
27803,0.01,0.05
27804,0.58,0.83
27805,0.07,0.24
27806,0.29,0.84
27807,0.25,0.73
27808,0.28,0.36
27809,0.49,0.76
27810,0.03,0.28
27811,0.01,0.13
27812,0.06,0.2
27813,0.27,0.36
27814,0.17,0.32
27815,0.11,0.36
27816,0.49,0.52
27817,0.23,0.51
27818,0.17,0.59
27819,0.16,0.32
27820,0.62,0.69
27821,0.17,0.39
27822,0.21,0.37
27823,0.29,0.37
27824,0.19,0.78
27825,0.25,0.3
27826,0.27,0.62
27827,0.06,0.09
27828,0.03,0.22
27829,0.02,0.13
27830,0.14,0.3
27831,0.12,0.6
27832,0.15,0.51
27833,0.22,0.42
27834,0.63,0.8
27835,0.4,0.75
27836,0.22,0.83
27837,0.52,0.81
27838,0.07,0.61
27839,0.05,0.14
27840,0.4,0.74
27841,0.2,0.36
27842,0.43,0.75
27843,0.05,0.46
27844,0.19,0.89
27845,0.09,0.82
27846,0.17,0.33
27847,0.06,0.45
27848,0.55,0.78
27849,0.19,0.76
27850,0.13,0.23
27851,0.45,0.3
27852,0.23,0.59
27853,0.14,0.33
27854,0.14,0.74
27855,0.1,0.54
27856,0.3,0.7
27857,0.45,0.83
27858,0.72,0.98
27859,0.77,0.85
27860,0.13,0.64
27861,0.01,0.26
27862,0.12,0.3
27863,0.25,0.31
27864,0.05,0.26
27865,0.19,0.54
27866,0.8,0.77
27867,0.58,0.75
27868,0.54,0.81
27869,0.02,0.46
27870,0.39,0.26
27871,0.19,0.65
27872,0.11,0.2
27873,0.11,0.12
27874,0.35,0.76
27875,0.27,0.42
27876,0.19,0.13
27877,0.32,0.62
27878,0.07,0.46
27879,0.19,0.65
27880,0.03,0.24
27881,0.09,0.68
27882,0.07,0.36
27883,0.09,0.09
27884,0.08,0.38
27885,0.08,0.15
27886,0.26,0.36
27887,0.52,0.46
27888,0.08,0.46
27889,0.1,0.21
27890,0.2,0.48
27891,0.21,0.38
27892,0.1,0.25
27893,0.02,0.26
27894,0.26,0.32
27895,0.21,0.72
27896,0.08,0.41
27897,0.01,0.11
27898,0.1,0.18
27899,0.02,0.51
27900,0.48,0.87
27901,0.13,0.15
27902,0.03,0.22
27903,0.2,0.23
27904,0.3,0.42
27905,0.09,0.16
27906,0.02,0.7
27907,0.67,0.86
27908,0.36,0.63
27909,0.26,0.36
27910,0.18,0.46
27911,0.54,0.65
27912,0.07,0.48
27913,0.04,0.31
27914,0.16,0.45
27915,0.06,0.48
27916,0.25,0.57
27917,0.16,0.56
27918,0.24,0.88
27919,0.11,0.32
27920,0.26,0.79
27921,0.15,0.51
27922,0.52,0.72
27923,0.16,0.92
27924,0.17,0.18
27925,0.02,0.06
27926,0.25,0.31
27927,0.05,0.21
27928,0.47,0.85
27929,0.03,0.87
27930,0.23,0.34
27931,0.84,0.86
27932,0.11,0.12
27933,0.11,0.33
27934,0.38,0.74
27935,0.33,0.71
27936,0.29,0.6
27937,0.85,0.95
27938,0.05,0.2
27939,0.02,0.09
27940,0.02,0.18
27941,0.06,0.3
27942,0.07,0.24
27943,0.02,0.59
27944,0.32,0.42
27945,0.46,0.38
27946,0.08,0.25
27947,0.6,0.76
27948,0.01,0.17
27949,0.03,0.4
27950,0.06,0.85
27951,0.55,0.56
27952,0.1,0.67
27953,0.24,0.73
27954,0.06,0.77
27955,0.05,0.84
27956,0.57,0.73
27957,0.08,0.21
27958,0.61,0.8
27959,0.32,0.44
27960,0.22,0.41
27961,0.05,0.28
27962,0.7,0.82
27963,0.09,0.13
27964,0.03,0.08
27965,0.02,0.11
27966,0.55,0.77
27967,0.12,0.12
27968,0.27,0.62
27969,0.52,0.81
27970,0.18,0.28
